sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry,pae_run
vdjdb_full_10257_ss_1_n0_iptm_filtered,2.6612754,9.6,1.1514759,2.6,1.2,4.0,0.965154503616042,0.0,0.6948061,0
vdjdb_full_10257_ss_2_n0_iptm_filtered,10.45737,22.4,7.636759,7.6,1.4,19.5,0.4036281179138322,0.4580498866213152,1.4290248,0
vdjdb_full_10257_ss_3_n0_iptm_filtered,11.826903,28.2,10.025179,5.9,1.7,25.349998,0.43079584775086505,0.3892733564013841,2.0541523,0
vdjdb_full_10257_ss_4_n0_iptm_filtered,4.0188036,15.0,2.2392209,3.6,1.5,7.2,0.7363576594345825,0.0,1.7548982,0
vdjdb_full_10284_rs_0_n0_iptm_filtered,3.0606403,8.1,1.373759,3.1,1.2,4.8,0.9143598615916955,0.0,0.71712804,0
vdjdb_full_10284_rs_1_n0_iptm_filtered,13.518241,27.9,11.11663,8.0,1.3,26.4,0.44,0.4624,1.7142401,0
vdjdb_full_10284_rs_2_n0_iptm_filtered,14.34513,29.5,11.784444,7.3,1.48,28.2,0.39780521262002744,0.4499314128943759,1.4979423,0
vdjdb_full_10284_rs_3_n0_iptm_filtered,5.784083,17.8,3.7139883,4.95,1.5,11.2,0.5,0.00865051903114187,2.5117648,0
vdjdb_full_10284_rs_4_n0_iptm_filtered,3.7646046,19.6,2.6742904,3.1,1.4,6.7,0.8185603807257584,0.008328375966686495,1.8428315,0
vdjdb_full_10284_ss_0_n0_iptm_filtered,13.2939205,27.4,9.562207,10.5,1.8,24.4,0.3312,0.464,1.7846401,0
vdjdb_full_10284_ss_1_n0_iptm_filtered,4.4533167,11.8,2.7386293,4.0,1.1,8.3,0.5803571428571429,0.0,1.3826531,0
vdjdb_full_10284_ss_2_n0_iptm_filtered,4.0561066,11.7,1.9365846,4.0,1.5,6.3,0.7180899908172635,0.0,1.2152432,0
vdjdb_full_10284_ss_3_n0_iptm_filtered,13.740819,29.6,10.691988,9.0,1.8,27.8,0.3140432098765432,0.39737654320987653,2.3112655,0
vdjdb_full_10284_ss_4_n0_iptm_filtered,13.156632,28.7,10.582927,7.05,1.6,25.9,0.4017857142857143,0.4451530612244898,1.8857143,0
vdjdb_full_10285_rs_0_n0_iptm_filtered,2.0483418,4.6,0.7372365,2.0,1.0,3.0,1.0,0.0,0.41760203,0
vdjdb_full_10285_rs_1_n0_iptm_filtered,6.19951,21.1,3.8202872,5.9,1.7,10.9,0.4057142857142857,0.036734693877551024,2.649143,0
vdjdb_full_10285_rs_2_n0_iptm_filtered,11.776954,27.3,10.915728,3.7,1.1,25.1,0.5281207133058985,0.4444444444444444,1.3349794,0
vdjdb_full_10285_rs_3_n0_iptm_filtered,7.375438,19.8,5.7021923,4.4,1.5,15.9,0.54,0.15125,2.088625,0
vdjdb_full_10285_rs_4_n0_iptm_filtered,9.745499,23.3,7.513206,5.8,1.8,20.1,0.44806094182825484,0.3635734072022161,1.8533243,0
vdjdb_full_10285_ss_0_n0_iptm_filtered,12.750297,27.9,10.801261,5.9,1.45,25.6,0.47633136094674555,0.4526627218934911,1.2721894,0
vdjdb_full_10285_ss_1_n0_iptm_filtered,12.487871,26.9,9.713858,9.95,1.4,24.3,0.3875739644970414,0.4556213017751479,2.0804732,0
vdjdb_full_10285_ss_2_n0_iptm_filtered,3.4278548,14.9,2.4495573,2.8,1.1,6.7,0.8399653979238755,0.0,1.8141868,0
vdjdb_full_10285_ss_3_n0_iptm_filtered,3.941889,28.4,3.5527506,3.3,1.49,6.0,0.8488888888888889,0.02666666666666667,1.7188889,0
vdjdb_full_10285_ss_4_n0_iptm_filtered,3.815755,16.8,2.4846082,3.2,1.5,7.2,0.8024489795918367,0.0024489795918367346,1.8368981,0
vdjdb_full_1028_rs_0_n0_iptm_filtered,6.404653,20.2,4.1400113,5.8,1.5,12.0,0.42775510204081635,0.02857142857142857,2.3639183,0
vdjdb_full_1028_rs_1_n0_iptm_filtered,4.8023357,16.2,2.7148612,4.4,1.5,8.5,0.5908304498269896,0.0017301038062283738,2.166263,0
vdjdb_full_1028_rs_2_n0_iptm_filtered,8.260208,20.2,5.265903,8.25,1.55,15.0,0.39644970414201186,0.09615384615384616,2.19142,0
vdjdb_full_1028_rs_3_n0_iptm_filtered,7.782794,23.6,4.80435,7.8,1.7,13.8,0.3449074074074074,0.06558641975308642,3.1118827,0
vdjdb_full_1028_rs_4_n0_iptm_filtered,12.763995,26.2,8.1260395,13.4,1.6,22.3,0.2726326742976067,0.47346514047866806,3.112591,0
vdjdb_full_1028_ss_0_n0_iptm_filtered,7.241714,21.2,5.943561,3.8,1.4,16.0,0.556734693877551,0.14285714285714285,1.6693877,0
vdjdb_full_1028_ss_1_n0_iptm_filtered,14.343889,29.6,11.305619,9.1,1.5,28.3,0.31666666666666665,0.42444444444444446,1.8162222,0
vdjdb_full_1028_ss_2_n0_iptm_filtered,5.8129754,18.6,3.1926584,5.6,1.6,9.9,0.4134948096885813,0.01124567474048443,2.1055362,0
vdjdb_full_1028_ss_3_n0_iptm_filtered,12.154337,27.7,10.281317,5.4,1.5,24.97,0.475765306122449,0.4362244897959184,1.6806122,0
vdjdb_full_1028_ss_4_n0_iptm_filtered,10.481359,24.0,6.688319,8.8,2.08,19.4,0.28833792470156105,0.3581267217630854,2.8488522,0
vdjdb_full_10497_rs_0_n0_iptm_filtered,12.219753,26.8,8.656487,10.6,1.5,23.6,0.2839506172839506,0.4050925925925926,3.0166667,0
vdjdb_full_10497_rs_1_n0_iptm_filtered,9.390725,20.7,5.3495626,10.1,1.9,16.0,0.2877526753864447,0.17122473246135553,2.3705113,0
vdjdb_full_10497_rs_2_n0_iptm_filtered,2.60787,9.5,1.3651527,2.3,1.2,4.25,0.9375,0.0,1.0040123,0
vdjdb_full_10497_rs_3_n0_iptm_filtered,3.5407405,8.7,2.0691013,3.5,0.8,6.1,0.7283950617283951,0.0,1.2148148,0
vdjdb_full_10497_rs_4_n0_iptm_filtered,3.0903113,12.5,1.7693839,2.7,1.3,5.5,0.870242214532872,0.0,1.3820069,0
vdjdb_full_10497_ss_0_n0_iptm_filtered,12.888735,27.4,8.799773,9.9,2.1,24.0,0.2620408163265306,0.4359183673469388,2.7159183,0
